retrieval,tag,topk,compare,metric,N_pairs,p_raw,p_adj,significant@0.05
BM25+ColBERT,RQ1_context_length,2 vs 3,top2 - top3,bleu,233,0.2607142271067906,0.2607142271067906,False
BM25+ColBERT,RQ1_context_length,2 vs 3,top2 - top3,bertscore,233,0.007237942093696391,0.007237942093696391,True
BM25+ColBERT,RQ1_context_length,2 vs 4,top2 - top4,rouge1,233,0.015077386840774623,0.015077386840774623,True
BM25+ColBERT,RQ1_context_length,2 vs 4,top2 - top4,rouge2,233,0.051862814568802616,0.051862814568802616,False
BM25+ColBERT,RQ1_context_length,2 vs 4,top2 - top4,rougeL,233,0.042577866796987614,0.042577866796987614,True
BM25+ColBERT,RQ1_context_length,2 vs 4,top2 - top4,bleu,233,0.027127046501941122,0.027127046501941122,True
BM25+ColBERT,RQ1_context_length,2 vs 4,top2 - top4,bertscore,233,0.0025851699852670585,0.0025851699852670585,True
BM25+ColBERT,RQ1_context_length,2 vs 5,top2 - top5,rouge1,233,0.4857725110600657,0.4857725110600657,False
BM25+ColBERT,RQ1_context_length,2 vs 5,top2 - top5,rouge2,233,0.9909810122090781,0.9909810122090781,False
BM25+ColBERT,RQ1_context_length,2 vs 5,top2 - top5,rougeL,233,0.9829314685068365,0.9829314685068365,False
BM25+ColBERT,RQ1_context_length,2 vs 5,top2 - top5,bleu,233,0.8927426225233002,0.8927426225233002,False
BM25+ColBERT,RQ1_context_length,2 vs 5,top2 - top5,bertscore,233,0.060117211109059654,0.060117211109059654,False
BM25+ColBERT,RQ1_context_length,3 vs 4,top3 - top4,rouge1,233,0.6706245882713455,0.6706245882713455,False
BM25+ColBERT,RQ1_context_length,3 vs 4,top3 - top4,rouge2,233,0.29565554853259407,0.29565554853259407,False
BM25+ColBERT,RQ1_context_length,3 vs 4,top3 - top4,rougeL,233,0.435184646118555,0.435184646118555,False
BM25+ColBERT,RQ1_context_length,3 vs 4,top3 - top4,bleu,233,0.21308209588814178,0.21308209588814178,False
BM25+ColBERT,RQ1_context_length,3 vs 4,top3 - top4,bertscore,233,0.7092759572304109,0.7092759572304109,False
BM25+ColBERT,RQ1_context_length,3 vs 5,top3 - top5,rouge1,233,0.11302945810913828,0.11302945810913828,False
BM25+ColBERT,RQ1_context_length,3 vs 5,top3 - top5,rouge2,233,0.23564420695921662,0.23564420695921662,False
BM25+ColBERT,RQ1_context_length,3 vs 5,top3 - top5,rougeL,233,0.13910843224124264,0.13910843224124264,False
BM25+ColBERT,RQ1_context_length,3 vs 5,top3 - top5,bleu,233,0.28378141195124357,0.28378141195124357,False
BM25+ColBERT,RQ1_context_length,3 vs 5,top3 - top5,bertscore,233,0.3753321365322505,0.3753321365322505,False
BM25+ColBERT,RQ1_context_length,4 vs 5,top4 - top5,rouge1,233,0.05718878042579923,0.05718878042579923,False
BM25+ColBERT,RQ1_context_length,4 vs 5,top4 - top5,rouge2,233,0.0310918642811253,0.0310918642811253,True
BM25+ColBERT,RQ1_context_length,4 vs 5,top4 - top5,rougeL,233,0.02114223972690819,0.02114223972690819,True
BM25+ColBERT,RQ1_context_length,4 vs 5,top4 - top5,bleu,233,0.01902092102356681,0.01902092102356681,True
BM25+ColBERT,RQ1_context_length,4 vs 5,top4 - top5,bertscore,233,0.21584181624935625,0.21584181624935625,False
BM25only,RQ1_context_length,1 vs 2,top1 - top2,rouge1,233,0.02167510970268544,0.02167510970268544,True
BM25only,RQ1_context_length,1 vs 2,top1 - top2,rouge2,233,0.012610851763073874,0.012610851763073874,True
BM25only,RQ1_context_length,1 vs 2,top1 - top2,rougeL,233,0.09265443911651924,0.09265443911651924,False
